api_calls,auxiliary_columns,brotli_base_bytes,brotli_compressed_bytes,brotli_savings_bytes,brotli_savings_ratio,candidate_id,config_name,dataset_id,group,gzip_base_bytes,gzip_compressed_bytes,gzip_savings_bytes,gzip_savings_ratio,input_tokens,lz4_base_bytes,lz4_compressed_bytes,lz4_savings_bytes,lz4_savings_ratio,output_tokens,reason,reconstruction_latency_ms,rows,selected,snappy_base_bytes,snappy_compressed_bytes,snappy_savings_bytes,snappy_savings_ratio,status,strategy,tool_calls,total_tokens,valid,zstd_base_bytes,zstd_compressed_bytes,zstd_savings_bytes,zstd_savings_ratio
1,4,171090,166186,4904,0.028663276638026768,url_and_leading_title_text,20231101.ady,wikimedia/wikipedia,agent,203972,198834,5138,0.02518973192398957,8367,341799,324747,17052,0.04988896983314755,3290,,1.4934749999999999,706,True,345621,332681,12940,0.03743985463846236,valid,single,0,11657,True,224900,216488,8412,0.03740329035126723
2,1,171090,165190,5900,0.03448477409550529,url_title,20231101.ady,wikimedia/wikipedia,agent,203972,198202,5770,0.02828819641911635,18092,341799,325790,16009,0.04683746880476537,2912,,1.4076207,706,True,345621,333180,12441,0.03599607662728827,valid,two_stage,0,21004,True,224900,216085,8815,0.039195197865718095
2,2,171090,166552,4538,0.026524051668712374,url_title_suffix,20231101.ady,wikimedia/wikipedia,agent,203972,199590,4382,0.021483340850705,18092,341799,327132,14667,0.04291118464360633,2912,,1.4658874999999998,706,False,345621,334539,11082,0.0320640238874374,valid,two_stage,0,21004,True,224900,217448,7452,0.03313472654513117
2,2,,,,,url_host,20231101.ady,wikimedia/wikipedia,agent,,,,,18092,,,,,2912,candidate does not reduce Snappy Parquet size,,706,False,345621,347717,-2096,-0.006064446315472729,rejected,two_stage,0,21004,False,,,,
8,,,,,,,20231101.ady,wikimedia/wikipedia,agent,,,,,88899,,,,,1272,ValueError: tool loop ended without submit_candidates,,706,False,,,,,error,tool_loop,8,90171,False,,,,
,,,,,,,20231101.ar,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,20231101.de,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,963872,963872,0,0.0,original,20231101.ceb,wikimedia/wikipedia,original,1086276,1086276,0,0.0,,1670449,1670449,0,0.0,,,,20000,False,1776099,1776099,0,0.0,valid,original,,,True,1170703,1170703,0,0.0
0,0,,,,,manual_wiki_1,20231101.ceb,wikimedia/wikipedia,manual,,,,,0,,,,,0,reconstruction differs in 3 cell(s),,20000,False,,,,,invalid,manual,0,0,False,,,,
0,2,963872,894498,69374,0.07197428704226287,manual_wiki_2,20231101.ceb,wikimedia/wikipedia,manual,1086276,1010116,76160,0.0701110951544543,0,1670449,1572699,97750,0.05851720106390557,0,,10.725475099999999,20000,False,1776099,1668307,107792,0.06069031061894636,valid,manual,0,0,True,1170703,1097677,73026,0.06237790455820135
0,2,,,,,manual_wiki_3,20231101.ceb,wikimedia/wikipedia,manual,,,,,0,,,,,0,reconstruction differs in 3 cell(s),,20000,False,,,,,invalid,manual,0,0,False,,,,
0,0,963872,804907,158965,0.16492335081836593,manual_wiki_4,20231101.ceb,wikimedia/wikipedia,manual,1086276,922224,164052,0.1510223920992455,0,1670449,1424580,245869,0.14718737297576878,0,,8.377624999999998,20000,True,1776099,1537632,238467,0.1342644751221638,valid,manual,0,0,True,1170703,983274,187429,0.1600995299405571
0,,,,,,,20231101.ceb,wikimedia/wikipedia,heuristic,,,,,0,,,,,0,no candidates were produced,,20000,False,,,,,skipped,heuristic,0,0,False,,,,
1,2,,,,,url_prefix,20231101.ceb,wikimedia/wikipedia,agent,,,,,5248,,,,,3715,candidate does not reduce Snappy Parquet size,,20000,False,105847,107454,-1607,-0.015182291420635445,rejected,single,0,8963,False,,,,
1,2,963872,790422,173450,0.17995127983798678,url_from_title,20231101.ceb,wikimedia/wikipedia,agent,1086276,906283,179993,0.16569729976543715,5248,1670449,1393423,277026,0.16583924441871617,3715,,7.7816709,20000,True,1776099,1506500,269599,0.1517927773170302,valid,single,0,8963,True,1170703,972973,197730,0.16889851653237414
1,4,963872,795096,168776,0.1751020882440822,url_suffix_and_decoded_title,20231101.ceb,wikimedia/wikipedia,agent,1086276,910827,175449,0.16151420081084367,5248,1670449,1401975,268474,0.16071966279724792,3715,,7.820133199999999,20000,False,1776099,1515476,260623,0.146739004976637,valid,single,0,8963,True,1170703,978304,192399,0.164344842372489
2,2,963872,790347,173525,0.1800290909996348,url_title_encode,20231101.ceb,wikimedia/wikipedia,agent,1086276,906208,180068,0.16576634299202045,11573,1670449,1393348,277101,0.16588414252694933,3502,,7.7505999,20000,True,1776099,1506425,269674,0.15183500469286904,valid,two_stage,0,15075,True,1170703,972898,197805,0.16896258060327854
2,4,963872,794655,169217,0.17555961787457255,url_tail_title_decode,20231101.ceb,wikimedia/wikipedia,agent,1086276,910386,175890,0.16192017498315345,11573,1670449,1401534,268915,0.160983663673659,3502,,7.6586708,20000,False,1776099,1515035,261064,0.14698730194656942,valid,two_stage,0,15075,True,1170703,977863,192840,0.1647215391094069
5,0,,,,,url_from_title,20231101.ceb,wikimedia/wikipedia,agent,,,,,32627,,,,,1908,reconstruction differs in 3 cell(s),,20000,False,,,,,invalid,tool_loop,5,34535,False,,,,
5,0,963872,804855,159017,0.16497729989044188,title_from_url,20231101.ceb,wikimedia/wikipedia,agent,1086276,922172,164104,0.15107026206967658,32627,1670449,1424528,245921,0.14721850233081046,1908,,7.6680959,20000,False,1776099,1537580,238519,0.13429375276941208,valid,tool_loop,5,34535,True,1170703,983222,187481,0.16014394769638413
5,1,963872,791233,172639,0.17910988181003287,url_title_path,20231101.ceb,wikimedia/wikipedia,agent,1086276,906894,179382,0.16513482761287188,32627,1670449,1398113,272336,0.16303161605053493,1908,,7.490641599999999,20000,True,1776099,1511405,264694,0.14903110693716962,valid,tool_loop,5,34535,True,1170703,974434,196269,0.16765054843115632
,,,,,,,20231101.nl,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,5625149,5625149,0,0.0,original,sample-10BT,HuggingFaceFW/fineweb,original,6512612,6512612,0,0.0,,10347623,10347623,0,0.0,,,,5000,False,10003818,10003818,0,0.0,valid,original,,,True,7148394,7148394,0,0.0
0,0,,,,,manual_fineweb_1,sample-10BT,HuggingFaceFW/fineweb,manual,,,,,0,,,,,0,candidate does not reduce Snappy Parquet size,,5000,False,2001903,2002097,-194,-9.690779223568774e-05,rejected,manual,0,0,False,,,,
0,0,,,,,manual_fineweb_2,sample-10BT,HuggingFaceFW/fineweb,manual,,,,,0,,,,,0,reconstruction differs in 1000 cell(s),,5000,False,,,,,invalid,manual,0,0,False,,,,
0,7,,,,,manual_fineweb_3,sample-10BT,HuggingFaceFW/fineweb,manual,,,,,0,,,,,0,candidate does not reduce Snappy Parquet size,,5000,False,2001903,2039278,-37375,-0.018669735746437266,rejected,manual,0,0,False,,,,
0,0,5625149,5624237,912,0.00016212903871524114,manual_fineweb_5,sample-10BT,HuggingFaceFW/fineweb,manual,6512612,6511869,743,0.00011408632972454063,0,10347623,10347725,-102,-9.857336317722438e-06,0,,8.4115333,5000,True,10003818,9995066,8752,0.0008748659761702982,valid,manual,0,0,True,7148394,7147988,406,5.6795974032768756e-05
0,5,,,,,manual_fineweb_6,sample-10BT,HuggingFaceFW/fineweb,manual,,,,,0,,,,,0,candidate does not reduce Snappy Parquet size,,5000,False,2001903,2013158,-11255,-0.0056221505237766265,rejected,manual,0,0,False,,,,
0,2,,,,,manual_fineweb_7,sample-10BT,HuggingFaceFW/fineweb,manual,,,,,0,,,,,0,candidate does not reduce Snappy Parquet size,,5000,False,2001903,2009135,-7232,-0.0036125626466417204,rejected,manual,0,0,False,,,,
0,3,,,,,manual_fineweb_8,sample-10BT,HuggingFaceFW/fineweb,manual,,,,,0,,,,,0,candidate does not reduce Snappy Parquet size,,5000,False,2001903,2010468,-8565,-0.004278429074735389,rejected,manual,0,0,False,,,,
0,0,,,,,manual_fineweb_4,sample-10BT,HuggingFaceFW/fineweb,manual,,,,,0,,,,,0,numeric regression baseline is outside string reconstruction scope,,5000,False,,,,,skipped,manual,0,0,False,,,,
0,4,,,,,heuristic_2_dump_from_5_file_path,sample-10BT,HuggingFaceFW/fineweb,heuristic,,,,,0,,,,,0,candidate does not reduce Snappy Parquet size,,5000,False,2001903,2009425,-7522,-0.0037574248102930064,rejected,heuristic,0,0,False,,,,
0,4,,,,,heuristic_5_file_path_from_2_dump,sample-10BT,HuggingFaceFW/fineweb,heuristic,,,,,0,,,,,0,candidate does not reduce Snappy Parquet size,,5000,False,2001903,2005269,-3366,-0.001681400147759407,rejected,heuristic,0,0,False,,,,
0,4,,,,,heuristic_5_file_path_from_6_language,sample-10BT,HuggingFaceFW/fineweb,heuristic,,,,,0,,,,,0,candidate does not reduce Snappy Parquet size,,5000,False,2001903,2005870,-3967,-0.0019816144938091407,rejected,heuristic,0,0,False,,,,
0,4,,,,,heuristic_6_language_from_5_file_path,sample-10BT,HuggingFaceFW/fineweb,heuristic,,,,,0,,,,,0,candidate does not reduce Snappy Parquet size,,5000,False,2001903,2010016,-8113,-0.004052643909320282,rejected,heuristic,0,0,False,,,,
0,4,,,,,heuristic_0_text_from_6_language,sample-10BT,HuggingFaceFW/fineweb,heuristic,,,,,0,,,,,0,candidate does not reduce Snappy Parquet size,,5000,False,2001903,2034066,-32163,-0.016066212998332087,rejected,heuristic,0,0,False,,,,
0,4,,,,,heuristic_6_language_from_0_text,sample-10BT,HuggingFaceFW/fineweb,heuristic,,,,,0,,,,,0,candidate does not reduce Snappy Parquet size,,5000,False,2001903,2012370,-10467,-0.0052285250584069255,rejected,heuristic,0,0,False,,,,
1,3,,,,,file_path_affix,sample-10BT,HuggingFaceFW/fineweb,agent,,,,,9814,,,,,3884,candidate does not reduce Snappy Parquet size,,5000,False,2001903,2003832,-1929,-0.0009635831506321735,rejected,single,0,13698,False,,,,
1,8,,,,,id_dump_language,sample-10BT,HuggingFaceFW/fineweb,agent,,,,,9814,,,,,3884,candidate does not reduce Snappy Parquet size,,5000,False,2001903,2009969,-8066,-0.004029166248314729,rejected,single,0,13698,False,,,,
1,3,,,,,date_timestamp,sample-10BT,HuggingFaceFW/fineweb,agent,,,,,9814,,,,,3884,candidate does not reduce Snappy Parquet size,,5000,False,2001903,2004684,-2781,-0.0013891781969456063,rejected,single,0,13698,False,,,,
